Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction,customer_key,travel_key,flight_key,date_key,airline_Key
3,4,3,1,5,3,5,5,4,3,4,4,5,5,25,18.0,neutral or dissatisfied,1,1,1110,103,4
3,2,3,3,1,3,1,1,1,5,3,1,4,1,1,6.0,neutral or dissatisfied,2,2,1500,436,6
2,2,2,2,5,5,5,5,4,3,4,4,4,5,0,0.0,satisfied,3,2,2100,271,4
2,5,5,5,2,2,2,2,2,5,3,1,4,2,11,9.0,neutral or dissatisfied,4,2,2159,107,4
3,3,3,3,4,5,5,3,3,4,4,3,3,3,0,0.0,satisfied,5,2,1973,72,3
3,4,2,1,1,2,1,1,3,4,4,4,4,1,0,0.0,neutral or dissatisfied,3,3,2925,701,5
2,4,2,3,2,2,2,2,3,3,4,3,5,2,9,23.0,neutral or dissatisfied,6,3,1067,21,2
4,3,4,4,5,5,5,5,5,5,5,4,5,4,4,0.0,satisfied,7,2,2259,615,3
1,2,2,2,4,3,3,1,1,2,1,4,1,2,0,0.0,neutral or dissatisfied,8,2,2036,122,2
3,3,3,4,2,3,3,2,2,3,4,4,3,2,0,0.0,neutral or dissatisfied,9,4,3272,467,2
4,5,5,4,2,5,2,2,3,3,5,3,5,2,0,0.0,neutral or dissatisfied,10,4,858,215,4
2,4,2,2,1,2,1,1,1,2,5,5,5,1,0,0.0,neutral or dissatisfied,11,1,2675,331,1
1,4,4,4,1,1,1,1,1,1,3,4,4,1,28,8.0,neutral or dissatisfied,12,4,1050,459,2
4,2,4,3,4,4,4,4,4,5,2,2,2,4,0,0.0,satisfied,13,3,299,88,2
3,2,3,2,2,3,2,2,4,3,2,2,1,2,43,35.0,neutral or dissatisfied,3,3,3149,373,2
2,1,2,3,4,2,1,4,2,1,4,1,3,4,1,0.0,neutral or dissatisfied,14,4,924,100,2
3,3,3,3,4,4,4,4,5,3,4,5,4,4,49,51.0,satisfied,3,2,137,664,4
4,4,2,4,4,4,4,5,5,5,5,3,5,5,0,10.0,satisfied,15,2,1044,131,2
4,4,4,4,3,4,5,5,5,5,5,3,5,4,7,5.0,satisfied,16,2,2488,662,1
2,3,3,2,5,3,5,5,1,2,4,3,2,5,17,18.0,neutral or dissatisfied,17,3,211,309,6
2,4,2,4,2,2,1,2,1,5,3,4,3,2,0,4.0,neutral or dissatisfied,18,4,2800,344,5
3,1,3,3,5,3,5,5,2,5,3,3,4,5,0,0.0,neutral or dissatisfied,19,3,1575,492,5
3,5,3,5,5,4,5,3,3,3,5,3,3,4,52,29.0,neutral or dissatisfied,20,3,2483,414,2
4,5,4,5,4,3,4,4,4,4,4,2,4,2,0,0.0,neutral or dissatisfied,21,3,780,386,4
5,0,5,1,1,5,1,1,4,5,5,3,5,1,54,44.0,satisfied,22,4,1231,192,1
4,4,4,1,5,4,5,5,3,2,4,4,5,5,27,28.0,neutral or dissatisfied,23,3,2487,277,1
1,1,1,1,1,5,3,4,4,4,3,5,4,2,0,0.0,satisfied,24,2,1803,161,2
4,4,4,4,2,2,1,4,4,4,4,2,4,2,0,8.0,satisfied,25,5,2714,460,4
3,1,1,1,1,2,1,3,3,3,3,2,3,2,18,12.0,neutral or dissatisfied,26,2,1066,314,5
3,2,3,3,3,3,1,3,2,4,3,4,2,3,19,0.0,neutral or dissatisfied,27,3,411,22,6
4,4,4,4,5,5,5,5,5,4,3,1,5,5,0,0.0,satisfied,28,2,3595,253,3
2,2,2,3,5,2,5,5,3,1,4,2,4,5,3,0.0,neutral or dissatisfied,29,4,2854,561,2
4,5,4,4,4,4,4,3,3,4,5,4,3,4,109,120.0,satisfied,30,2,2658,475,2
4,5,4,1,2,4,5,5,5,4,3,5,5,5,18,24.0,neutral or dissatisfied,31,3,427,59,2
3,3,3,4,1,3,1,1,4,1,3,1,4,1,9,0.0,neutral or dissatisfied,32,2,3347,511,4
1,4,4,4,1,1,1,1,3,5,3,3,3,1,0,1.0,neutral or dissatisfied,33,4,1472,682,3
3,4,4,3,5,4,2,5,5,4,5,4,5,5,0,0.0,neutral or dissatisfied,34,2,2950,476,4
4,3,4,2,2,4,2,2,5,1,4,3,4,2,23,20.0,neutral or dissatisfied,35,1,942,700,2
4,4,4,3,2,4,5,4,4,4,4,4,4,4,23,31.0,satisfied,36,3,1908,190,3
1,1,1,2,1,1,1,1,3,3,4,4,4,1,0,0.0,neutral or dissatisfied,37,2,742,687,1
4,4,4,4,3,5,5,4,4,4,4,4,4,3,0,0.0,satisfied,38,2,1393,563,1
3,5,3,4,3,3,3,3,4,4,5,5,5,3,9,23.0,neutral or dissatisfied,39,2,1244,567,6
0,0,0,3,2,5,3,4,4,4,4,4,4,3,0,0.0,satisfied,15,2,1601,244,3
