customer_key,Gender,Age,Customer Type
1,Male,13,Loyal Customer
2,Male,25,disloyal Customer
3,Female,26,Loyal Customer
4,Female,25,Loyal Customer
5,Male,61,Loyal Customer
6,Male,47,Loyal Customer
7,Female,52,Loyal Customer
8,Female,41,Loyal Customer
9,Male,20,disloyal Customer
10,Female,24,disloyal Customer
11,Female,12,Loyal Customer
12,Male,53,Loyal Customer
13,Male,33,Loyal Customer
14,Male,13,disloyal Customer
15,Male,41,Loyal Customer
16,Female,45,Loyal Customer
17,Male,38,Loyal Customer
18,Male,9,Loyal Customer
19,Female,17,Loyal Customer
20,Female,43,Loyal Customer
21,Female,58,Loyal Customer
22,Female,23,disloyal Customer
23,Male,57,Loyal Customer
24,Female,33,Loyal Customer
25,Female,49,Loyal Customer
26,Female,36,Loyal Customer
27,Male,22,Loyal Customer
28,Female,31,Loyal Customer
29,Female,15,disloyal Customer
30,Female,35,Loyal Customer
31,Female,67,Loyal Customer
32,Male,37,disloyal Customer
33,Female,40,Loyal Customer
34,Female,34,disloyal Customer
35,Male,40,Loyal Customer
36,Female,47,Loyal Customer
37,Male,41,disloyal Customer
38,Male,39,Loyal Customer
39,Female,25,disloyal Customer
40,Female,38,Loyal Customer
41,Female,50,Loyal Customer
42,Male,29,Loyal Customer
43,Female,22,Loyal Customer
44,Female,13,Loyal Customer
45,Male,54,Loyal Customer
46,Male,21,Loyal Customer
47,Male,28,Loyal Customer
48,Male,27,Loyal Customer
49,Female,69,Loyal Customer
50,Male,35,Loyal Customer
51,Female,60,Loyal Customer
52,Female,57,Loyal Customer
53,Female,38,disloyal Customer
54,Male,23,disloyal Customer
55,Male,39,disloyal Customer
56,Female,48,Loyal Customer
57,Female,59,Loyal Customer
58,Male,25,Loyal Customer
59,Male,46,Loyal Customer
60,Male,50,Loyal Customer
61,Female,53,Loyal Customer
62,Male,30,Loyal Customer
63,Male,66,Loyal Customer
64,Male,45,Loyal Customer
65,Male,52,Loyal Customer
66,Male,64,Loyal Customer
67,Female,50,disloyal Customer
68,Female,41,disloyal Customer
69,Male,26,Loyal Customer
70,Female,44,disloyal Customer
71,Female,21,disloyal Customer
72,Male,31,Loyal Customer
73,Male,44,Loyal Customer
74,Male,60,Loyal Customer
75,Female,51,Loyal Customer
76,Female,61,Loyal Customer
77,Female,32,Loyal Customer
78,Female,39,Loyal Customer
79,Male,19,Loyal Customer
80,Female,15,Loyal Customer
81,Female,42,disloyal Customer
82,Female,16,Loyal Customer
83,Female,29,Loyal Customer
84,Female,27,disloyal Customer
85,Male,22,disloyal Customer
86,Male,11,disloyal Customer
87,Female,34,Loyal Customer
88,Female,26,disloyal Customer
89,Male,36,Loyal Customer
90,Male,32,Loyal Customer
91,Male,20,Loyal Customer
92,Male,15,Loyal Customer
93,Female,46,Loyal Customer
94,Male,26,disloyal Customer
95,Male,11,Loyal Customer
96,Male,62,Loyal Customer
97,Male,51,Loyal Customer
98,Male,8,Loyal Customer
99,Female,21,Loyal Customer
100,Female,44,Loyal Customer
101,Male,24,Loyal Customer
102,Male,67,Loyal Customer
103,Male,12,Loyal Customer
104,Female,56,Loyal Customer
105,Male,24,disloyal Customer
106,Male,68,Loyal Customer
107,Male,43,Loyal Customer
108,Female,55,Loyal Customer
109,Female,54,Loyal Customer
110,Female,42,Loyal Customer
111,Female,29,disloyal Customer
112,Female,24,Loyal Customer
113,Male,49,Loyal Customer
114,Male,58,Loyal Customer
115,Male,8,disloyal Customer
116,Male,42,Loyal Customer
117,Male,59,Loyal Customer
118,Female,37,Loyal Customer
119,Male,23,Loyal Customer
120,Female,19,Loyal Customer
121,Female,64,Loyal Customer
122,Female,18,Loyal Customer
123,Female,20,Loyal Customer
124,Female,49,disloyal Customer
125,Female,35,disloyal Customer
126,Female,28,Loyal Customer
127,Male,48,Loyal Customer
128,Female,65,Loyal Customer
129,Male,65,Loyal Customer
130,Male,27,disloyal Customer
131,Male,72,Loyal Customer
132,Female,72,Loyal Customer
133,Female,33,disloyal Customer
134,Female,62,Loyal Customer
135,Female,37,disloyal Customer
136,Female,62,disloyal Customer
137,Female,30,Loyal Customer
138,Female,40,disloyal Customer
139,Male,21,disloyal Customer
140,Male,16,Loyal Customer
141,Male,34,Loyal Customer
142,Female,23,Loyal Customer
143,Male,16,disloyal Customer
144,Female,36,disloyal Customer
145,Male,55,Loyal Customer
146,Female,17,disloyal Customer
147,Male,17,Loyal Customer
148,Male,70,Loyal Customer
149,Female,63,Loyal Customer
150,Female,10,Loyal Customer
151,Male,7,Loyal Customer
152,Female,9,Loyal Customer
153,Male,56,Loyal Customer
154,Female,8,Loyal Customer
155,Female,20,disloyal Customer
156,Female,68,Loyal Customer
157,Male,43,disloyal Customer
158,Male,63,Loyal Customer
159,Male,37,Loyal Customer
160,Male,36,disloyal Customer
161,Male,69,Loyal Customer
162,Male,47,disloyal Customer
163,Male,30,disloyal Customer
164,Male,38,disloyal Customer
165,Male,10,disloyal Customer
166,Male,10,Loyal Customer
167,Male,7,disloyal Customer
168,Female,66,Loyal Customer
169,Female,27,Loyal Customer
170,Female,11,disloyal Customer
171,Male,32,disloyal Customer
172,Female,28,disloyal Customer
173,Male,65,disloyal Customer
174,Female,8,disloyal Customer
175,Male,19,disloyal Customer
176,Female,39,disloyal Customer
177,Female,69,disloyal Customer
178,Female,47,disloyal Customer
179,Female,13,disloyal Customer
180,Male,15,disloyal Customer
181,Female,43,disloyal Customer
182,Female,22,disloyal Customer
183,Male,33,disloyal Customer
184,Female,11,Loyal Customer
185,Female,56,disloyal Customer
186,Female,70,Loyal Customer
187,Male,14,Loyal Customer
188,Male,40,disloyal Customer
189,Male,34,disloyal Customer
190,Male,29,disloyal Customer
191,Female,54,disloyal Customer
192,Female,12,disloyal Customer
193,Female,80,Loyal Customer
194,Male,18,disloyal Customer
195,Female,80,disloyal Customer
196,Female,14,Loyal Customer
197,Male,28,disloyal Customer
198,Female,18,disloyal Customer
199,Female,19,disloyal Customer
200,Female,65,disloyal Customer
201,Male,35,disloyal Customer
202,Female,64,disloyal Customer
203,Male,64,disloyal Customer
204,Female,55,disloyal Customer
205,Male,50,disloyal Customer
206,Female,74,Loyal Customer
207,Female,30,disloyal Customer
208,Female,32,disloyal Customer
209,Female,16,disloyal Customer
210,Female,7,Loyal Customer
211,Male,63,disloyal Customer
212,Female,48,disloyal Customer
213,Male,44,disloyal Customer
214,Male,18,Loyal Customer
215,Male,42,disloyal Customer
216,Female,59,disloyal Customer
217,Male,31,disloyal Customer
218,Male,71,Loyal Customer
219,Male,85,Loyal Customer
220,Female,71,Loyal Customer
221,Male,17,disloyal Customer
222,Male,61,disloyal Customer
223,Female,46,disloyal Customer
224,Male,73,Loyal Customer
225,Male,45,disloyal Customer
226,Female,45,disloyal Customer
227,Female,9,disloyal Customer
228,Male,9,disloyal Customer
229,Male,70,disloyal Customer
230,Male,76,Loyal Customer
231,Female,60,disloyal Customer
232,Female,31,disloyal Customer
233,Female,77,Loyal Customer
234,Female,14,disloyal Customer
235,Male,14,disloyal Customer
236,Male,59,disloyal Customer
237,Male,49,disloyal Customer
238,Male,74,Loyal Customer
239,Male,55,disloyal Customer
240,Male,54,disloyal Customer
241,Female,66,disloyal Customer
242,Male,52,disloyal Customer
243,Male,62,disloyal Customer
244,Male,75,Loyal Customer
245,Male,12,disloyal Customer
246,Male,57,disloyal Customer
247,Female,79,Loyal Customer
248,Female,75,Loyal Customer
249,Male,48,disloyal Customer
250,Male,77,Loyal Customer
251,Female,57,disloyal Customer
252,Male,79,Loyal Customer
253,Female,51,disloyal Customer
254,Female,61,disloyal Customer
255,Male,58,disloyal Customer
256,Male,68,disloyal Customer
257,Female,72,disloyal Customer
258,Female,70,disloyal Customer
259,Female,58,disloyal Customer
260,Female,68,disloyal Customer
261,Male,72,disloyal Customer
262,Male,80,Loyal Customer
263,Female,10,disloyal Customer
264,Male,53,disloyal Customer
265,Female,76,Loyal Customer
266,Female,73,Loyal Customer
267,Male,51,disloyal Customer
268,Female,63,disloyal Customer
269,Male,46,disloyal Customer
270,Male,71,disloyal Customer
271,Female,73,disloyal Customer
272,Male,80,disloyal Customer
273,Male,66,disloyal Customer
274,Male,56,disloyal Customer
275,Female,7,disloyal Customer
276,Male,74,disloyal Customer
277,Female,52,disloyal Customer
278,Female,53,disloyal Customer
279,Male,67,disloyal Customer
280,Male,60,disloyal Customer
281,Female,79,disloyal Customer
282,Male,77,disloyal Customer
283,Male,78,Loyal Customer
284,Female,71,disloyal Customer
285,Female,77,disloyal Customer
286,Female,78,Loyal Customer
287,Female,85,disloyal Customer
288,Female,85,Loyal Customer
289,Male,69,disloyal Customer
290,Male,78,disloyal Customer
291,Male,85,disloyal Customer
292,Male,75,disloyal Customer
293,Female,74,disloyal Customer
294,Male,79,disloyal Customer
295,Female,75,disloyal Customer
296,Female,78,disloyal Customer
297,Male,73,disloyal Customer
