flight_key,Flight Distance,Origin_Airport,Destination_Airport,Origin_Airport_Name,Origin_Latitude,Origin_Longitude,Dest_Airport_Name,Dest_Latitude,Dest_Longitude
1,460,SFO,LAX,San Francisco Intl,37.6213,-122.379,Los Angeles Intl,33.9416,-118.4085
2,235,DFW,DEN,Dallas/Fort Worth Intl,32.8998,-97.0403,Denver Intl,39.8561,-104.6737
3,1142,IAH,ORD,George Bush Intercontinental,29.9902,-95.3368,Chicago O’Hare Intl,41.9742,-87.9073
4,562,MSP,SFO,Minneapolis–Saint Paul Intl,44.883,-93.21,San Francisco Intl,37.6213,-122.379
5,214,PHX,BOS,Phoenix Sky Harbor Intl,33.4342,-112.0116,Boston Logan Intl,42.3656,-71.0096
6,1180,SEA,DEN,Seattle-Tacoma Intl,47.4502,-122.3088,Denver Intl,39.8561,-104.6737
7,1276,IAH,SEA,George Bush Intercontinental,29.9902,-95.3368,Seattle-Tacoma Intl,47.4502,-122.3088
8,2035,DEN,ATL,Denver Intl,39.8561,-104.6737,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
9,853,SFO,ORD,San Francisco Intl,37.6213,-122.379,Chicago O’Hare Intl,41.9742,-87.9073
10,1061,BOS,ORD,Boston Logan Intl,42.3656,-71.0096,Chicago O’Hare Intl,41.9742,-87.9073
11,1182,ORD,MIA,Chicago O’Hare Intl,41.9742,-87.9073,Miami Intl,25.7959,-80.287
12,308,SFO,DEN,San Francisco Intl,37.6213,-122.379,Denver Intl,39.8561,-104.6737
13,834,PHX,CLT,Phoenix Sky Harbor Intl,33.4342,-112.0116,Charlotte Douglas Intl,35.214,-80.9431
14,946,PHX,MIA,Phoenix Sky Harbor Intl,33.4342,-112.0116,Miami Intl,25.7959,-80.287
15,453,SEA,IAH,Seattle-Tacoma Intl,47.4502,-122.3088,George Bush Intercontinental,29.9902,-95.3368
16,486,DEN,MIA,Denver Intl,39.8561,-104.6737,Miami Intl,25.7959,-80.287
17,2123,DFW,ATL,Dallas/Fort Worth Intl,32.8998,-97.0403,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
18,2075,SEA,LAX,Seattle-Tacoma Intl,47.4502,-122.3088,Los Angeles Intl,33.9416,-118.4085
19,2486,SEA,DEN,Seattle-Tacoma Intl,47.4502,-122.3088,Denver Intl,39.8561,-104.6737
20,1174,ORD,DFW,Chicago O’Hare Intl,41.9742,-87.9073,Dallas/Fort Worth Intl,32.8998,-97.0403
21,208,JFK,MSP,John F. Kennedy Intl,40.6413,-73.7781,Minneapolis–Saint Paul Intl,44.883,-93.21
22,752,DEN,BOS,Denver Intl,39.8561,-104.6737,Boston Logan Intl,42.3656,-71.0096
23,2139,LAX,MIA,Los Angeles Intl,33.9416,-118.4085,Miami Intl,25.7959,-80.287
24,452,SEA,SFO,Seattle-Tacoma Intl,47.4502,-122.3088,San Francisco Intl,37.6213,-122.379
25,719,CLT,JFK,Charlotte Douglas Intl,35.214,-80.9431,John F. Kennedy Intl,40.6413,-73.7781
26,1561,LAS,SFO,Las Vegas McCarran Intl,36.084,-115.1537,San Francisco Intl,37.6213,-122.379
27,315,JFK,ATL,John F. Kennedy Intl,40.6413,-73.7781,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
28,3347,LAX,ATL,Los Angeles Intl,33.9416,-118.4085,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
29,2342,CLT,SEA,Charlotte Douglas Intl,35.214,-80.9431,Seattle-Tacoma Intl,47.4502,-122.3088
30,819,DEN,IAH,Denver Intl,39.8561,-104.6737,George Bush Intercontinental,29.9902,-95.3368
31,1043,ATL,IAH,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,George Bush Intercontinental,29.9902,-95.3368
32,2611,CLT,LAX,Charlotte Douglas Intl,35.214,-80.9431,Los Angeles Intl,33.9416,-118.4085
33,1192,BOS,CLT,Boston Logan Intl,42.3656,-71.0096,Charlotte Douglas Intl,35.214,-80.9431
34,349,JFK,BOS,John F. Kennedy Intl,40.6413,-73.7781,Boston Logan Intl,42.3656,-71.0096
35,883,IAH,PHX,George Bush Intercontinental,29.9902,-95.3368,Phoenix Sky Harbor Intl,33.4342,-112.0116
36,550,CLT,MIA,Charlotte Douglas Intl,35.214,-80.9431,Miami Intl,25.7959,-80.287
37,302,MIA,SFO,Miami Intl,25.7959,-80.287,San Francisco Intl,37.6213,-122.379
38,354,ATL,JFK,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277,John F. Kennedy Intl,40.6413,-73.7781
39,1734,PHX,ATL,Phoenix Sky Harbor Intl,33.4342,-112.0116,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
40,1452,PHX,ATL,Phoenix Sky Harbor Intl,33.4342,-112.0116,Hartsfield-Jackson Atlanta Intl,33.6407,-84.4277
